BOROUGH,HOUSE,STREET,STREETON,RACKS,RACKTYPE,WORKTYPE,WORKDATE,X,Y
3,143,DRIGGS AV,RUSSELL ST,1,Small,Install,999718,202644
3,353,GRAHAM AV,,1,Small,Install,999581,199774
3,418,UNION AV,UNION AV,1,Circular,Install,997793,199003
3,211,AINSLIE ST,,4,Small,Install,999348,199094
3,98,BUSHWICK AV,,1,Small,Install,1000666,198583
3,340,BUSHWICK AV,,3,Small,Install,1001000,195966
3,49,BOGART ST,,1,Small,Install,1002653,196268
3,1619,PITKIN AV,PITKIN AV,1,Circular,Install,1008153,183191
3,1684,PITKIN AV,PITKIN AV,1,Circular,Install,1008902,183172
3,1151,NOSTRAND AV,,1,Circular,Install,998070,179565
3,50,LINCOLN RD,,2,Small,Install,995055,179948
3,100,WOODRUFF AV,,3,Circular,Install,994638,177356
3,1017,CORTELYOU RD,,1,Circular,Install,992994,172285
3,1501,CORTELYOU RD,MARLBOROUGH R 1,,Circular,Install,994174,172992
3,1301,NEWKIRK AV,ARGYLE RD,1,Circular,Install,993989,170624
3,1301,NEWKIRK AV,NEWKIRK AV,1,Circular,Install,993989,170624
3,3801,NEW UTRECHT AV,NEW UTRECHT AV 2,,Circular,Install,986059,174509
3,5420,13 AV,13 AV 1,,Circular,Install,985432,169495
3,5413,NEW UTRECHT AV,NEW UTRECHT AV 1,,Circular,Install,985608,169450
3,6814,4 AV,4 AV 1,,Mini‐Hoop,Install,977679,170650
3,6809,4 AV,4 AV 2,,Mini‐Hoop,Install,977849,170594
3,2213,65 ST,65 ST 1,,Circular,Install,989601,162888
3,2220,65 ST,65 ST 1,,Circular,Install,989503,162712
3,1502,AV H,1,,Small,Install,994762,168716
3,177,AV U,1,,Small,Install,990405,156665
3,183,AV U,1,,Small,Install,990553,156700
3,263,AV U,1,,Small,Install,991356,156828
3,142,AV U,1,,Large,Install,990075,156450
3,192,AV U,1,,Small,Install,990648,156541
3,204,AV U,1,,Small,Install,990748,156546
3,238,AV U,1,,Large,Install,991083,156595
3,246,AV U,1,,Small,Install,991127,156601
3,322,AV U,1,,Large,Install,991977,156736
3,322,AV U,WEST ST 1,,Large,Install,991977,156736
3,261,AV X,1,,Small,Install,991696,154396
3,253,AV X,1,,Small,Install,991611,154391
3,275,AV X,1,,Small,Install,991888,154425
3,333,AV X,1,,Small,Install,992398,154502
3,258,AV X,1,,Large,Install,991662,154195
3,278,AV X,1,,Large,Install,991819,154237
3,344,AV X,1,,Large,Install,992403,154322
3,2113,AV V,1,,Small,Install,998308,157029
3,2222,GRAVESEND NECK RD,1,,Small,Install,998565,156739
3,2224,GRAVESEND NECK RD,1,,Small,Install,998565,156739
3,2900,BEDFORD AV,5,,Large,Install,996795,169050
3,1625,OCEAN AV,OCEAN AV 2,,Circular,Install,996639,166009
3,872,WILLIAMS AV,E 108 ST 2,,Circular,Install,1013337,177131
4,21‐52,44 DR,44 DR 1,,Circular,Install,999349,211604
4,21‐42,44 DR,44 DR 1,,Circular,Install,999253,211628
4,21‐30,44 DR,44 DR 2,,Circular,Install,999145,211656
4,24‐28,JACKSON AV,COURT SQ 3,,Circular,Install,999740,211120
4,43‐15,CRESCENT ST,1,,Circular,Install,1000263,211942
4,21‐21,44 DR,44 DR,2,Circular,Install,,999081,211875
4,10‐43,44 DR,44 DR,1,Circular,Install,,998083,212128
4,31‐02,21 ST,31 AV,1,Circular,Install,,1003581,218797
4,32‐27,STEINWAY ST,STEINWAY ST,2,Circular,Install,,1006609,215513
4,45‐11,31 AV,,8,Small,Install,,1008638,216222
4,37‐69,74 ST,,1,Small,Install,,1014386,211469
4,51‐27,43 AV,,1,Small,Install,,1008463,210507
4,74‐19,BROADWAY,,2,Large,Install,,1014476,211334
4,76‐09,BROADWAY,,3,Circular,Install,,1015099,210973
4,7617,BROADWAY,77 ST,1,Circular,Install,,1015099,210973
